Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"LED Diffuser Plate","Frosted Acrylic Sheet","Diffuses the white LED array for uniform illumination of reagent pads.","mechanical","structural",1,2.50,2.50,"https://www.amazon.com/s?k=frosted+acrylic+sheet"
"UV-C Safety Shield","","Protective internal shield to prevent UV-C leakage during sterilization.","mechanical","enclosure",1,4.00,4.00,"https://www.homedepot.com/s/aluminum+sheet"
"Environmental Sensor Mount","Environmental Sensor Mount","Form-fitting cradle for the Environmental Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Ambient Light Sensor Mount","Ambient Light Sensor Mount","Form-fitting cradle for the Ambient Light Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Illumination LED Mount","Illumination LED Mount","Per-position bracket for the Illumination LED with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"UV-C Sterilization LED Mount","","Per-position bracket for the UV-C Sterilization LED with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Calibration Target","Labsphere Spectralon White Standard 99% 10x10mm","Highly Lambertian white reflectance standard for normalizing spectral sensor data.","mechanical","misc",1,25.00,25.00,"https://www.labsphere.com/product/spectralon-diffuse-reflectance-standards/"
"RGB Color Sensor","Adafruit TCS34725 RGB Color Sensor","High-accuracy RGB color sensor with IR filter and I2C interface for consistent color measurement.","electrical","sensor",1,7.95,7.95,"https://www.adafruit.com/product/1334"
"RGB Sensor Mount","TCS34725 Custom Bracket","3D-printed bracket to secure the TCS34725 sensor inside the optical chamber.","mechanical","3d_printed",1,0.50,0.50,"https://www.printables.com/search/models?q=TCS34725+mount"
"Secondary RGB Sensor","Adafruit TCS34725 RGB Color Sensor","Second color sensor for differential or redundant reagent pad analysis.","electrical","sensor",1,7.95,7.95,"https://www.adafruit.com/product/1334"
"GT2 Timing Belt","GT2 Timing Belt 2mm Pitch 6mm Wide","Rubber belt used to translate rotational motion of the DC motor into linear motion.","mechanical","mechanism",1,5.00,5.00,"https://www.amazon.com/s?k=GT2+timing+belt+200mm"
"GT2 Pulley","GT2 Timing Pulley 16 Teeth 3mm Bore","Aluminum pulleys for the belt drive system.","mechanical","mechanism",2,3.00,6.00,"https://www.amazon.com/s?k=GT2+pulley+3mm+bore"
"Belt Tensioner","3D Printed Belt Tensioner","Adjustable mount to maintain proper tension on the timing belt.","mechanical","3d_printed",1,1.00,1.00,"N/A"
"16-Bit ADC Module","ADS1115 4-Channel ADC with PGA","High-precision 16-bit analog-to-digital converter to handle low-noise sensor data.","electrical","module",1,6.50,6.50,"https://www.adafruit.com/product/1085"
"High-CRI Reference LED","YujiLEDs 95+ CRI 5mm LED","Broad-spectrum white LED with high color rendering index for medical diagnostic accuracy.","electrical","actuator",1,2.50,2.50,"https://www.yujiintl.com/high-cri-led-bulbs/"
"Light Shield Shroud","Custom 3D-Printed Light Shield","An opaque gasket or shroud to seal the optical chamber against the dipstick surface.","mechanical","3d_printed",1,1.50,1.50,"N/A"
"Scan Start Button","Momentary Tactile Push Button 6x6mm","Triggers the automated measurement sequence when pressed.","electrical","sensor",1,0.10,0.10,"https://www.digikey.com/en/products/result?keywords=momentary+tactile+button"
"LED Control MOSFET","2N7000 N-Channel MOSFET","Allows MCU to control High-CRI LED intensity via PWM for calibration.","electrical","module",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=2N7000"
"Main Controller S3","ESP32-S3-DevKitC-1","Powerful dual-core MCU with native USB and enough RAM for UI rendering.","electrical","mcu",1,15.00,15.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-DEVKITC-1-N8R8/16162639"
"Manufacturable Main Shell","Custom ABS Enclosure","Enclosure designed with 2-degree draft angles and uniform wall thickness for high-volume production.","mechanical","enclosure",1,15.00,15.00,"N/A"
"Disposable Tray Liner","Whatman Grade 1 Filter Paper Strips","Pre-cut absorbent strips to be placed in the tray reservoir to soak up excess urine.","mechanical","misc",100,0.15,15.00,"https://www.amazon.com/s?k=filter+paper+strips"
"Clear Acrylic Guard","2mm Clear Acrylic Sheet (Laser Cut)","A low-friction clear plate that holds the dipstick flat against the tray as the optical head passes over.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/s?k=clear+acrylic+sheet+2mm"
"Single-Strip Mini Tray","Miniature Dipstick Tray","Compact tray designed with a single 6mm wide channel for a single reagent strip.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=PLA+filament"
"Compact Chassis Base","Compact Main Chassis","Redesigned chassis base with a smaller overall footprint and optimized mounting for the single-strip tray.","mechanical","3d_printed",1,3.50,3.50,"https://www.amazon.com/s?k=PLA+filament"
"Thermal Receipt Printer","CSN-A2 Micro Thermal Printer","Integrated thermal printer for diagnostic reports.","electrical","actuator",1,35.00,35.00,"https://www.adafruit.com/product/597"
"Weight Sensor","HX711 Load Cell Kit 1kg","Senses sample cup placement and volume verification.","electrical","sensor",1,8.00,8.00,"https://www.amazon.com/s?k=HX711+load+cell+kit"
"4.3in Capacitive Touch Display","Waveshare 4.3inch DSI LCD","Larger medical-grade capacitive touch interface.","electrical","display",1,45.00,45.00,"https://www.waveshare.com/4.3inch-dsi-lcd.htm"
"Printer Internal Bracket","3D Printed Printer Mount","","mechanical","3d_printed",1,2.50,2.50,""
"Sample Scale Plate","3D Printed Scale Plate","","mechanical","3d_printed",1,1.50,1.50,""
"N20 DC Gear Motor with Encoder","GA12-N20 DC Gear Motor 6V 200RPM with Hall Encoder","Compact DC motor with integrated quadrature encoder for position feedback.","electrical","actuator",1,8.50,8.50,"https://www.amazon.com/s?k=N20+motor+encoder+6V"
"Mini H-Bridge Motor Driver","MX1508 Dual DC Motor Driver","Small dual-channel H-bridge for controlling DC motor direction and speed.","electrical","module",1,2.00,2.00,"https://www.amazon.com/s?k=MX1508+motor+driver"
"N20 Motor Bracket","N20 Motor Mounting Bracket","3D-printed adapter to mount the N20 motor to the existing chassis base.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=N20+motor+bracket"
